"Banco de México"

"Laboral"
"Salarios mínimos"

"Fecha de consulta: 11/10/2010 03:23:55"

""

"Título","Salario mínimo general (índice real, 1994=100)"
"Periodo disponible","Ene 1964 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","1994"
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SL2542"
01/02/2009,78.47418
01/03/2009,78.02531
01/04/2009,77.75317
01/05/2009,77.98030
01/06/2009,77.83697
01/07/2009,77.62552
01/08/2009,77.44024
01/09/2009,77.05373
01/10/2009,76.82132
01/11/2009,76.42488
01/12/2009,76.10989
01/01/2010,78.94348
01/02/2010,78.48952
01/03/2010,77.93622
01/04/2010,78.18534
01/05/2010,78.68111
01/06/2010,78.70576
01/07/2010,78.53523
01/08/2010,78.31771
01/09/2010,77.90930

