Nombre,Símbolo,Cierre,Máximo,Mínimo,Var., Var %,Vol.,Hora
Total System Services,TSS,92.97,93.16,91.33,+2.36,+2.60%,1.39M,14:59:59
Tractor Supply,TSCO,95.75,95.97,93.10,+2.57,+2.76%,1.49M,14:59:59
Transdigm,TDG,360.51,361.13,352.97,+5.36,+1.51%,468.44K,14:59:59
TripAdvisor,TRIP,58.07,58.53,55.32,+1.07,+1.88%,4.10M,14:59:59
Twenty-First Century Fox A,FOXA,47.55,47.64,46.92,+0.39,+0.83%,7.89M,14:59:59
Tyson Foods,TSN,62.04,62.48,61.43,+0.02,+0.03%,2.45M,14:59:59
Ulta Beauty,ULTA,290.51,297.76,287.00,-1.28,-0.44%,1.62M,14:59:59
Under Armour A,UAA,22.88,23.22,22.56,-0.42,-1.80%,4.29M,14:59:59
Under Armour C,UA,20.660,20.920,20.210,-250,-1.20%,2.82M,14:59:59
Union Pacific,UNP,152.87,152.93,150.22,+2.70,+1.80%,5.78M,14:59:59
United Continental,UAL,92.16,92.33,89.65,+2.52,+2.81%,3.79M,14:59:59
United Dominion,UDR,40.53,40.57,39.99,+0.56,+1.40%,870.71K,14:59:59
United Parcel Service,UPS,111.13,111.32,108.01,+2.48,+2.28%,3.72M,14:59:59
United Rentals,URI,131.32,134.49,129.86,+1.56,+1.20%,2.88M,14:59:59
United Technologies,UTX,130.55,130.91,128.04,+2.61,+2.04%,5.40M,14:59:59
UnitedHealth,UNH,274.63,276.75,266.90,+11.09,+4.21%,5.80M,14:59:59
Universal Health Services,UHS,129.49,129.73,126.81,+3.55,+2.82%,678.84K,14:59:59
Unum,UNM,38.05,38.27,37.31,+0.78,+2.09%,2.15M,14:59:59
US Bancorp,USB,52.58,52.93,51.80,-0.06,-0.11%,6.72M,14:59:59
Valero Energy,VLO,92.59,92.73,90.06,+1.31,+1.44%,3.67M,14:59:59
Varian,VAR,122.40,122.75,120.88,+1.65,+1.37%,734.80K,14:59:59
Ventas,VTR,59.59,59.62,58.59,+0.65,+1.10%,1.29M,14:59:59
VeriSign,VRSN,159.85,160.20,156.84,+2.70,+1.72%,1.27M,14:59:59
Verisk,VRSK,120.95,121.68,119.65,+2.07,+1.74%,816.05K,14:59:59
Verizon,VZ,57.65,57.78,57.04,+0.44,+0.77%,14.89M,14:59:59
Vertex,VRTX,183.88,184.14,176.56,+8.65,+4.94%,1.54M,14:59:59
VF,VFC,86.19,86.32,84.71,+0.73,+0.85%,2.02M,14:59:59
Viacom B,VIAB,32.34,32.63,31.05,-0.22,-0.68%,5.16M,14:59:59
Visa,V,144.78,144.90,142.32,+3.99,+2.83%,20.50M,14:59:59
Vornado,VNO,69.36,69.38,68.69,+0.40,+0.58%,753.03K,14:59:59
Vulcan Materials,VMC,109.20,112.58,108.70,+5.08,+4.88%,3.32M,14:59:59
Walgreens Boots,WBA,81.91,81.96,80.56,+1.31,+1.63%,6.14M,14:59:59
Walmart,WMT,104.32,104.47,103.05,+0.99,+0.96%,8.67M,14:59:59
Walt Disney,DIS,117.05,117.29,115.16,+0.34,+0.29%,8.25M,14:59:59
Waste Management,WM,89.43,89.45,87.85,+1.60,+1.82%,2.58M,14:59:59
Waters,WAT,198.16,199.25,195.98,+1.13,+0.57%,579.53K,14:59:59
WEC Energy,WEC,68.78,68.88,67.65,+0.50,+0.73%,4.14M,14:59:59
Wells Fargo&Co,WFC,53.58,54.18,52.79,+0.03,+0.06%,20.67M,14:59:59
Welltower,WELL,69.10,69.50,68.53,-0.02,-0.03%,2.18M,14:59:59
Western Digital,WDC,48.53,49.58,47.50,-0.37,-0.76%,3.98M,14:59:59
Western Union,WU,18.49,18.69,18.44,+0.01,+0.05%,3.45M,14:59:59
WestRock Co,WRK,46.80,47.52,46.01,+0.07,+0.15%,2.16M,14:59:59
Weyerhaeuser,WY,27.51,27.52,27.01,+0.32,+1.18%,3.35M,14:59:59
Whirlpool,WHR,117.11,117.14,114.79,+1.19,+1.03%,824.87K,14:59:59
Williams,WMB,26.48,26.54,25.96,+0.74,+2.87%,11.71M,14:59:59
Willis Towers Watson,WLTW,158.30,158.55,153.57,+3.60,+2.33%,778.61K,14:59:59
WW Grainger,GWW,296.02,296.79,287.90,+8.44,+2.93%,453.55K,14:59:59
Wyndham,WYND,42.95,43.68,42.52,-0.39,-0.90%,2.34M,14:59:59
Wynn Resorts,WYNN,113.99,114.32,109.97,+4.30,+3.92%,5.26M,14:59:59
Xcel Energy,XEL,49.50,49.71,49.10,+0.36,+0.73%,5.14M,14:59:59
Xerox,XRX,29.03,29.16,28.73,+0.03,+0.10%,3.61M,14:59:59
Xilinx,XLNX,85.10,88.20,82.64,-0.82,-0.95%,6.14M,14:59:59
Xylem,XYL,71.50,71.56,69.58,+1.65,+2.36%,1.20M,14:59:59
Yum! Brands,YUM,89.38,89.52,88.00,+1.48,+1.68%,2.73M,14:59:59
Zimmer Biomet,ZBH,118.16,118.35,115.55,+3.12,+2.71%,1.48M,14:59:59
Zions,ZION,49.71,49.80,48.35,+0.52,+1.06%,2.61M,14:59:59
Zoetis Inc,ZTS,95.19,95.46,93.49,+2.43,+2.62%,2.61M,14:59:59
